note_id,x,y,cluster
5107,0.097811185,2.6560593,1
17599,-5.385421,0.014177622,3
139910,-0.47181785,0.02031641,-1
3681,-5.434521,0.07240625,-1
109749,-1.8203647,-1.8288262,-1
44409,-5.3109837,-0.07804226,3
120561,-3.8999841,3.0925038,4
9902,-1.6418873,1.7684035,-1
96331,-3.2037416,-1.1464252,-1
169605,0.68352205,1.5823957,-1
195713,-1.3638378,1.5163549,-1
170209,-4.0408583,-2.5104394,-1
72496,-3.1821077,0.25654826,-1
163737,-5.391531,0.044978015,3
190456,-1.1638883,0.13419388,-1
65061,-3.1310837,-0.00014403377,-1
109325,1.8627923,-1.9614619,0
13549,-1.7008284,3.6181645,-1
196907,0.07071039,1.0772915,-1
34467,-3.2977383,0.48701978,-1
137931,-3.8862648,3.2368867,-1
31308,-3.049264,0.25941128,-1
188390,-4.5602818,-1.0737045,2
74750,-4.070235,0.49646828,-1
155224,1.9794953,-2.120411,0
96551,-0.35671213,0.3807448,-1
201289,-1.3641225,-1.2502334,4
35882,0.056797285,-1.0277469,-1
193430,-4.805981,0.19270796,-1
61369,-0.91793203,0.6100825,-1
155693,-1.625296,0.9026092,-1
29400,-2.9834297,1.1627303,-1
57361,-2.2298045,-3.1263242,4
78117,-3.3412144,0.46380204,-1
9320,3.7103548,6.5662684,1
39864,-2.018592,-2.3294,4
98718,-3.0395918,2.7134128,-1
171079,-3.31729,0.40293488,-1
103457,0.24902384,0.2702265,-1
45384,-1.7321011,-0.59339267,-1
125192,3.565667,6.2118254,-1
16457,3.7561371,6.539205,1
73655,-2.4140258,-0.6663805,-1
34264,-3.3131363,0.4730351,-1
11932,-5.54119,0.1686886,-1
38484,-0.408867,-0.049346987,-1
126611,-4.0432777,3.4525595,4
204524,0.036621906,2.7266316,1
88919,-4.0532784,0.5136407,-1
35788,-1.3539685,-1.2259192,4
61651,-0.39853096,2.062343,-1
117747,-5.4324636,-0.08834628,-1
41813,-2.2805626,-1.5171155,-1
47648,-5.10611,4.7919827,-1
177869,-2.232684,1.5671734,-1
71135,-4.4073796,-0.03348166,-1
68464,1.4611042,-1.0704819,0
373,-2.5907001,0.38717976,-1
192582,1.2976336,-1.209395,-1
5943,-1.4071482,-1.1976929,-1
88294,-0.005413581,2.7046118,1
4586,-1.4555006,2.978537,-1
21856,0.71790785,1.612163,-1
157063,1.380248,-0.9566483,-1
94909,-4.068438,-2.523789,-1
153021,0.9885054,-0.20378758,-1
198918,-4.1554036,0.55510616,-1
66782,-1.3009819,0.7417593,-1
202708,-1.2956394,-1.1984445,4
188718,-2.1262586,-3.322463,-1
32256,-0.24696414,0.25936505,-1
83704,-2.8078778,-1.5153154,-1
102056,0.089839086,2.6704054,1
191034,-3.3500016,-0.37415624,-1
48849,0.03247541,-0.9134595,-1
122817,-1.252327,1.4819651,-1
191300,-1.646083,2.9798198,-1
108096,-3.9341424,3.188221,4
182962,-3.2837105,2.2450497,-1
153761,3.9121292,6.500016,1
142578,0.6320285,1.9008284,-1
71573,-1.0270053,-1.4291898,4
152217,-5.158631,4.8539877,5
172444,0.5365671,2.026857,1
20556,-4.0781794,-2.4479692,-1
25737,-2.374502,-0.77553886,-1
94970,-0.6962553,4.2008047,-1
96952,-1.3871465,1.7739112,-1
112237,-3.2160919,4.1519732,-1
45549,-0.65644234,-0.24949415,-1
184265,-2.9699395,2.6818333,-1
16638,-5.05036,4.880532,-1
30748,3.6864855,6.4231687,1
61762,1.8060255,-1.9320282,0
37386,-4.179304,3.4293005,4
73666,1.5154338,-1.1246204,0
88950,1.6779313,-1.8489789,0
175078,-2.287082,-3.3298085,4
39915,3.8073702,6.6738567,1
82868,-2.2138946,2.3333855,-1
40731,0.21124396,0.31130245,1
150221,-0.4809302,4.316898,-1
142808,-2.2560663,-1.9285579,-1
174618,3.7358744,6.54602,1
142606,-3.8234305,3.7297928,4
180817,-2.3808968,0.8061312,-1
103706,-5.243712,-0.11484372,-1
42714,-0.74558055,-0.28745142,-1
186791,-2.8779504,-0.08349394,-1
13709,-0.3279662,0.4172284,-1
173721,-4.8102913,4.277159,-1
101129,-4.1100535,0.5308224,-1
80001,-1.151387,-1.0485998,-1
153979,-2.2516663,-3.303729,4
184440,-0.16067384,-1.1622764,-1
203499,-4.981304,4.7164664,-1
134836,-2.2984765,-3.281705,4
170996,-2.0649197,3.6098475,-1
102331,3.7051299,6.5297794,1
5168,-2.7675433,4.149201,-1
132372,1.7157847,-1.6827798,-1
10856,-3.4862,2.764275,-1
150954,0.10436444,-0.9156149,-1
51858,-4.0373406,-2.4936905,-1
76205,-3.4574516,0.97494394,-1
94956,-0.32975957,0.46212468,-1
157462,-4.158177,3.161592,-1
157666,-0.60063434,4.316845,-1
105025,3.7614818,6.678818,1
163964,-1.8534675,-2.7386553,4
164998,-1.6550878,1.7473193,-1
92521,-3.9207907,3.3913639,-1
184228,-2.3052619,-2.904728,-1
89330,-3.9660625,2.7060184,-1
189950,-0.49026376,4.2716837,-1
151624,-3.4267752,3.8387823,-1
179324,-5.4145713,-0.033742018,3
10241,-5.059593,4.85981,5
41507,-3.4322562,3.9631004,-1
68496,-4.1181574,-1.0165731,-1
46259,-4.606613,-0.9572989,2
82854,0.68472487,1.7098805,1
155649,-3.8069737,2.561186,4
119353,-2.3302767,-3.4277096,4
